customer_id,name,gender,age,phone,email,city,clean_phone
CU0001,Jill Snyder,Male,49,(527)170-6357,timothy92@yahoo.com,Juliabury,5271706357
CU0002,Nicholas Foster,Male,23,324-959-9856x281,cochrancarlos@berry.info,Wrightport,3249599856
CU0003,Courtney Robbins,Male,60,461.428.6407,donna01@yahoo.com,Lake Zacharyburgh,4614286407
CU0004,Blake Barry,Male,67,119-340-1448x571,sandra08@yahoo.com,Ramirezburgh,1193401448
CU0005,Claudia Hardin,Female,31,514-684-2974x378,caitlindavis@bradley.org,Lake Tamara,5146842974
CU0006,Scott Wilson,Female,52,(356)146-5556x78074,pamela97@smith.net,East Amberland,3561465556
CU0007,Michael Johnson,Male,58,(272)146-6686x12407,rjones@bates.com,Holmesport,2721466686
CU0008,Michelle Davis,Female,28,061.225.2031,dwilson@schmidt-carter.com,New Robin,0612252031
CU0009,Sara Mack,Male,29,558.988.9694x89389,ybailey@yahoo.com,East Brian,5589889694
CU0010,Ashley Butler,Female,30,874-636-8430,williamestes@gmail.com,North Marciamouth,8746368430
CU0011,Charles Sullivan,Male,65,+1-766-952-6723x886,fward@pierce.com,South Adam,7669526723
CU0012,Tiffany Thompson,Male,30,7124538481,lindseychad@mckinney-cole.com,Port Ronaldberg,7124538481
CU0013,Juan Blackwell,Male,23,7553482919,dguerrero@gmail.com,North Jessica,7553482919
CU0014,Todd Taylor,Female,53,+1-994-176-8255x022,rodriguezangela@mills-navarro.net,New Susantown,9941768255
CU0015,Brooke Bennett,Male,23,477.655.4719,marvin28@hotmail.com,East Jack,4776554719
CU0016,Bobby Rodriguez,Female,68,6738343904,torresallen@evans.org,South Alisha,6738343904
CU0017,Patricia French,Female,60,4278324332,sheila92@gmail.com,Carlsonmouth,4278324332
CU0018,Nancy Reed,Male,25,728.003.7525x065,jenningsfelicia@hotmail.com,Morrisonton,7280037525
CU0019,Timothy Valenzuela,Female,42,796-013-6243x1680,jenkinsmicheal@hotmail.com,Rebekahside,7960136243
CU0020,Gregory Carter,Male,35,790-163-4961x801,clayamanda@evans.com,East Stephaniebury,7901634961
CU0021,Diane Glenn,Male,32,8768989784,bergrenee@lamb.com,Williamtown,8768989784
CU0022,Jasmine Dixon,Male,58,+1-379-206-9761x554,sjefferson@gmail.com,South Ethanborough,3792069761
CU0023,Anna Reynolds,Female,25,293-620-4537x821,emilyfry@yahoo.com,Benjaminshire,2936204537
CU0024,Timothy Delgado,Female,56,001-883-841-2780x607,robertdouglas@gmail.com,East Caitlin,8838412780
CU0025,Troy Hernandez,Male,52,802-189-3700x287,maynardrhonda@gmail.com,Port Charlestown,8021893700
CU0026,Haley Miller,Female,31,001-448-008-8098x9630,fosterbrianna@gmail.com,Amyside,4480088098
CU0027,Patricia Armstrong,Male,63,550.506.6294x781,watsonkatherine@gmail.com,Jeffreyton,5505066294
CU0028,Tanya Mcdowell,Male,19,+1-496-383-5436x90144,ysmith@yahoo.com,Robertsfurt,4963835436
CU0029,Adrienne Mccoy,Male,30,505-660-3557x500,gentryfrank@santos-kemp.com,Port Frank,5056603557
CU0030,Henry Chan,Female,64,(706)134-0899x8226,crystal72@reese-ware.info,Rothmouth,7061340899
CU0031,Michael Sandoval,Female,60,001-550-373-3378x54095,sandra09@jones.com,South Diamond,5503733378
CU0032,Laura Jones,Male,34,001-780-516-5756x7709,tonypotter@brown-flores.biz,Justinside,7805165756
CU0033,Nicole Hurst,Male,64,+1-270-862-0245x233,nicholsonelizabeth@gmail.com,Matthewberg,2708620245
CU0034,Matthew Mora,Female,35,5911671901,kimberly44@yahoo.com,Port Jamesview,5911671901
CU0035,Gregory Johnson,Female,31,767.315.9463x1584,perezmaria@perez-thompson.net,Kyleview,7673159463
CU0036,Joshua Lewis,Male,65,001-203-168-0038x50217,bartonreginald@martin-white.com,New Douglasville,2031680038
CU0037,Charles Jenkins,Male,37,323-679-7650x248,baldwinjose@collins.com,Port Christophershire,3236797650
CU0038,Margaret Lyons,Female,39,898.599.3172x59022,morrisantonio@hotmail.com,New Ethanville,8985993172
CU0039,John Blackwell,Female,70,001-182-632-7265x890,terryjoe@smith.net,West Andrew,1826327265
CU0040,Johnny Petersen,Male,57,544.305.0485x4124,martinezjason@wilson-lyons.net,East Daniel,5443050485
CU0041,Andrew Dawson,Female,59,830.890.2965,glove@ballard.com,Jennifershire,8308902965
CU0042,Christopher Smith,Male,45,-3738,jennifer60@jones.com,Davishaven,
CU0043,Michelle Johnson,Male,70,(253)186-8465,melissaroman@hotmail.com,Nicolebury,2531868465
CU0044,Tiffany James,Male,66,+1-941-966-1749x7650,emily63@hotmail.com,North Brendashire,9419661749
CU0045,Robert Boyd,Male,36,001-759-774-1924x716,lauren51@farmer-greene.info,Travisview,7597741924
CU0046,Ashley Roy,Female,42,(264)983-2828,jbutler@hotmail.com,Evanstown,2649832828
CU0047,Cynthia Estes,Female,67,(911)389-1261,ineal@gmail.com,Nancybury,9113891261
