sale_id,sale_date,customer_id,car_id,quantity,sale_price,total_amount,salesperson
S00001,2025-03-28,CU1241,C0214,3,73293.0,219879.0,Ashley Ramos
S00002,2024-02-12,CU0100,C0202,3,32681.0,98043.0,Pamela Blair
S00003,2023-02-26,CU1690,C0228,2,53531.0,107062.0,Sergio Lee
S00004,2024-06-21,CU0534,C0231,1,89817.0,89817.0,Mary Johnston
S00005,2023-12-21,CU1153,C0071,2,77591.0,155182.0,Ricardo Garcia
S00006,2025-06-26,CU0878,C0319,2,79567.0,159134.0,Chelsea Gonzalez
S00007,2025-07-08,CU1113,C0102,2,65470.0,130940.0,Carol Lopez
S00008,2025-02-16,CU1144,C0041,3,98437.0,295311.0,Alexa Edwards
S00009,2024-12-26,CU0134,C0191,1,79283.0,79283.0,Joe Goodwin
S00010,2025-02-01,CU1380,C0413,3,59005.0,177015.0,Chase Harrison
S00011,2023-02-14,CU1361,C0014,2,60688.0,121376.0,Molly Charles
S00012,2025-08-18,CU1155,C0163,3,60038.0,180114.0,John Kemp
S00013,2023-03-23,CU1392,C0302,3,46669.0,140007.0,Brian Austin
S00014,2022-12-28,CU1229,C0451,1,34808.0,34808.0,Ronald Harmon
S00015,2024-02-22,CU0436,C0176,3,18527.0,55581.0,Dr. Lee Davis PhD
S00016,2025-08-14,CU1355,C0324,1,15500.0,15500.0,Michael Hernandez
S00017,2025-05-23,CU1241,C0386,2,63125.0,126250.0,Jon King
S00018,2023-04-10,CU1280,C0260,2,55074.0,110148.0,Jonathan Woods
S00019,2025-04-30,CU1102,C0165,3,66403.0,199209.0,Margaret Jones
S00020,2025-05-27,CU1017,C0343,2,66795.0,133590.0,Erika Atkinson
S00021,2025-06-15,CU0845,C0050,3,34195.0,102585.0,Kevin Howard
S00022,2025-10-06,CU0145,C0276,3,82651.0,247953.0,Daniel Olson
S00023,2023-07-13,CU1526,C0280,3,30023.0,90069.0,Joel Martinez
S00024,2025-07-25,CU1117,C0208,2,90218.0,180436.0,Lisa Johnson
S00025,2023-12-13,CU0813,C0447,3,20707.0,62121.0,Brittany Anderson
S00026,2025-03-05,CU0761,C0335,3,26312.0,78936.0,Billy Baird
S00027,2025-02-26,CU0318,C0157,1,78873.0,78873.0,Bradley Smith
S00028,2025-01-11,CU1026,C0101,2,41063.0,82126.0,James Webb
S00029,2024-09-04,CU0521,C0173,1,91987.0,91987.0,Deborah Sullivan
S00030,2024-10-30,CU0926,C0235,2,16920.0,33840.0,Ashley Hogan
S00031,2023-11-16,CU1198,C0231,2,23321.0,46642.0,Jason Ortiz
S00032,2025-03-11,CU1031,C0148,1,88622.0,88622.0,Alexis Rodriguez
S00033,2023-10-19,CU0650,C0003,2,61079.0,122158.0,Scott Anderson
S00034,2025-04-26,CU0536,C0337,3,85287.0,255861.0,John Liu
S00035,2024-06-21,CU1251,C0476,1,46382.0,46382.0,Maureen Sims
S00036,2025-02-06,CU0138,C0359,2,24595.0,49190.0,Elizabeth Gomez
S00037,2023-08-02,CU1936,C0466,2,58240.0,116480.0,Clarence Shaw
S00038,2024-06-24,CU1142,C0196,1,28601.0,28601.0,Lisa Scott
S00039,2025-03-19,CU1936,C0482,3,86246.0,258738.0,Molly Olson
S00040,2025-09-03,CU0680,C0433,1,54485.0,54485.0,James Combs
S00041,2024-05-17,CU0329,C0017,1,27261.0,27261.0,Nicole Martin
S00042,2023-06-05,CU1752,C0263,3,55112.0,165336.0,Kristen Cummings
S00043,2024-05-23,CU1563,C0237,2,25490.0,50980.0,Barry Hancock
S00044,2023-01-08,CU1454,C0109,3,28885.0,86655.0,Jerry Clayton
S00045,2024-09-07,CU1943,C0282,1,96873.0,96873.0,Michael Kim
S00046,2023-06-04,CU0988,C0452,3,86185.0,258555.0,Erica Duarte
S00047,2023-09-04,CU0027,C0123,1,15743.0,15743.0,Lisa Thompson
S00048,2023-01-05,CU0218,C0223,2,54597.0,109194.0,Ryan Rogers
S00049,2023-12-24,CU1891,C0464,2,41595.0,83190.0,Manuel Williams
S00050,2025-08-25,CU0473,C0430,1,43961.0,43961.0,Scott Cooper
S00051,2023-05-28,CU0368,C0063,3,44496.0,133488.0,Amanda Sparks
S00052,2023-01-09,CU0480,C0454,2,87401.0,174802.0,Michael Washington
S00053,2023-11-21,CU1387,C0252,3,82095.0,246285.0,Melvin Pope
S00054,2022-12-07,CU0550,C0114,3,60514.0,181542.0,Gregory Washington
S00055,2023-12-27,CU1705,C0107,3,44282.0,132846.0,Timothy Williams
S00056,2025-03-26,CU0057,C0189,1,36971.0,36971.0,Mr. Mario Hernandez
S00057,2023-05-24,CU1003,C0182,2,65085.0,130170.0,Amanda James
S00058,2024-09-03,CU0487,C0077,2,59717.0,119434.0,Amanda Johnson
S00059,2023-05-06,CU1471,C0236,2,69040.0,138080.0,Kimberly Schroeder
S00060,2023-01-09,CU1643,C0273,2,47679.0,95358.0,Kevin Gonzalez
S00061,2023-01-09,CU0201,C0055,2,86074.0,172148.0,Jessica Sandoval
S00062,2025-01-21,CU0360,C0018,2,32340.0,64680.0,Yolanda Howard
S00063,2025-03-28,CU1141,C0301,3,63628.0,190884.0,James Adams
S00064,2025-04-19,CU1401,C0499,3,83399.0,250197.0,Kimberly Carter
S00065,2025-04-06,CU0879,C0323,2,41832.0,83664.0,Sandra Alvarado
S00066,2024-03-08,CU0826,C0113,3,47020.0,141060.0,Angela Torres
S00067,2025-09-22,CU0691,C0047,2,62601.0,125202.0,Austin Johnson
S00068,2023-11-24,CU1088,C0338,1,46031.0,46031.0,Elizabeth Morrow
S00069,2025-09-20,CU1456,C0414,3,42076.0,126228.0,David Summers
S00070,2025-02-09,CU1431,C0239,2,92096.0,184192.0,Jeffrey Salinas
S00071,2023-12-17,CU0461,C0464,3,46237.0,138711.0,Tim Harris
S00072,2024-01-16,CU0585,C0424,3,91637.0,274911.0,Bianca Price
S00073,2023-07-13,CU1279,C0347,2,61290.0,122580.0,Thomas Smith
S00074,2025-01-14,CU1528,C0477,3,62849.0,188547.0,Isaac Cox
S00075,2023-08-31,CU1080,C0060,2,96661.0,193322.0,James Wilkins
S00076,2024-12-16,CU0824,C0031,3,77833.0,233499.0,Steven Morgan
S00077,2023-04-27,CU1066,C0154,2,16960.0,33920.0,Barbara Cameron
S00078,2023-09-10,CU1957,C0281,1,59740.0,59740.0,Richard Lin
S00079,2024-05-11,CU0336,C0418,1,30580.0,30580.0,John Shaffer
S00080,2025-03-17,CU0240,C0378,1,92464.0,92464.0,Catherine Jackson
S00081,2023-04-28,CU0102,C0011,2,46633.0,93266.0,Jared Morris
S00082,2025-06-16,CU1861,C0056,3,65431.0,196293.0,Denise Sanders
S00083,2023-10-25,CU1789,C0252,1,21663.0,21663.0,Taylor Nguyen
S00084,2024-09-26,CU1413,C0202,3,45160.0,135480.0,Margaret Mckinney
S00085,2023-12-18,CU1996,C0072,2,66693.0,133386.0,Joanna Franklin
S00086,2023-01-16,CU1555,C0458,3,97628.0,292884.0,Jason Hickman
S00087,2024-09-25,CU0669,C0001,2,34314.0,68628.0,Annette Murray
S00088,2025-05-06,CU1776,C0372,1,39334.0,39334.0,Sabrina Baxter
S00089,2024-10-17,CU0792,C0176,1,74747.0,74747.0,Colleen Brooks
S00090,2024-10-21,CU0593,C0029,2,93571.0,187142.0,Andrew Stephenson
S00091,2023-10-17,CU1653,C0221,1,31017.0,31017.0,Jasmine Berg
S00092,2023-05-07,CU0648,C0268,3,24370.0,73110.0,Jocelyn Espinoza DDS
S00093,2023-04-19,CU0131,C0336,3,17719.0,53157.0,George Clark
S00094,2023-03-02,CU1147,C0394,1,36684.0,36684.0,Ms. Heather Martinez
S00095,2024-06-30,CU1259,C0075,3,81084.0,243252.0,Miss Susan Taylor
S00096,2025-06-04,CU0993,C0147,3,51776.0,155328.0,Christine Gross
S00097,2023-12-16,CU0288,C0057,3,67193.0,201579.0,Melanie Palmer
S00098,2025-03-03,CU1159,C0379,2,85321.0,170642.0,Gloria Young
S00099,2023-08-01,CU1251,C0328,3,21810.0,65430.0,Dr. James Huber DDS
S00100,2023-09-04,CU1908,C0462,3,24417.0,73251.0,Kristen Rodriguez
S00101,2023-05-07,CU0389,C0396,3,64133.0,192399.0,Ruben Johnson
S00102,2024-02-28,CU1417,C0065,1,43519.0,43519.0,Kimberly Allen
S00103,2023-02-13,CU1346,C0012,1,70161.0,70161.0,John Duran
S00104,2024-06-26,CU0657,C0350,3,67055.0,201165.0,Jason Perez
S00105,2025-10-06,CU1097,C0182,1,84527.0,84527.0,Maureen Gutierrez
S00106,2024-02-23,CU0933,C0453,2,84365.0,168730.0,Jessica Pacheco
S00107,2025-08-10,CU0685,C0192,2,45673.0,91346.0,James Kidd
S00108,2024-08-06,CU0217,C0042,1,56387.0,56387.0,Bradley Davila
S00109,2023-06-13,CU0454,C0108,3,56305.0,168915.0,Bruce Griffith
S00110,2025-02-13,CU1214,C0271,1,59501.0,59501.0,Sean Arnold
S00111,2024-06-29,CU0295,C0370,3,91719.0,275157.0,Amber Reyes
S00112,2025-01-11,CU0243,C0487,1,45253.0,45253.0,Kristina Fox
S00113,2024-04-25,CU1227,C0388,3,50982.0,152946.0,Laura Williams
S00114,2025-06-06,CU0341,C0191,1,64231.0,64231.0,Larry Cruz
S00115,2022-11-25,CU0012,C0177,1,95356.0,95356.0,Christina Jones
S00116,2024-10-09,CU0130,C0364,3,86214.0,258642.0,Melanie Henry
S00117,2023-12-14,CU1620,C0482,1,33098.0,33098.0,Brenda Jackson
S00118,2024-03-31,CU0581,C0229,2,96006.0,192012.0,Julia Reed
S00119,2025-10-07,CU1861,C0450,1,99844.0,99844.0,Carrie Alexander
S00120,2025-04-17,CU0525,C0369,2,94427.0,188854.0,Susan Gonzalez
S00121,2025-07-17,CU1702,C0081,2,76534.0,153068.0,Amanda Owens
S00122,2024-08-26,CU0634,C0070,1,21253.0,21253.0,Lori Wallace
S00123,2023-06-05,CU0587,C0364,2,30091.0,60182.0,Jessica Alvarez
S00124,2024-07-05,CU0257,C0450,3,31278.0,93834.0,Scott Woodard
S00125,2023-03-09,CU0191,C0082,3,74121.0,222363.0,Sue Nichols
S00126,2024-11-29,CU1605,C0127,1,28003.0,28003.0,Kylie Huang
S00127,2023-11-12,CU1585,C0325,2,19640.0,39280.0,Joseph Garcia
S00128,2025-06-11,CU1406,C0194,1,87405.0,87405.0,Kimberly Watts
S00129,2025-03-29,CU1936,C0453,3,98471.0,295413.0,Russell Mathews
S00130,2023-08-14,CU0907,C0073,3,73368.0,220104.0,Lynn Lee
S00131,2024-04-07,CU1117,C0489,3,88379.0,265137.0,Monique Harrington
S00132,2023-01-12,CU1675,C0426,3,36630.0,109890.0,Richard Conley
S00133,2024-12-27,CU1234,C0481,2,84336.0,168672.0,Jennifer Lester
S00134,2023-09-14,CU1471,C0053,3,57068.0,171204.0,Joshua George MD
